Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,oline_carrer_value,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
536,Cleveland Browns,25219.0,94,43,0,0,0.0,0,0,0,0.0,0,0.0,0,1,4,4.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,12,0.4,0.5,202,65,7,4,5,2,28,0,0,0,1,0,0.0,0,171,0,S,0,0,0,0,0,0,0,Erik Harris,99.27026932575072,156.45270535578186,0,42.76,56.01525977183233,21.38
537,Cleveland Browns,9631.0,49,17,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,T,0,0,0,0,0,0,0,James Hudson,99.46960387817128,159.78088253027855,0,55.94,59.472702884492755,27.97
538,Cleveland Browns,17636.0,75,12,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,66,51,7,6,0,0,2,0,0,0,0,0,0.0,0,0,0,S,0,0,0,0,0,0,0,Khaleke Hudson,99.3754159172603,158.20000985925645,0,49.48,58.120862667873716,24.74
539,Cleveland Browns,25962.0,63,19,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,10.0,74,42,17,23,2,0,10,0,3,0,1,0,0.0,0,55,0,DT,0,0,0,0,0,0,0,Maurice Hurst Jr.,99.24636458139868,156.05801793097564,0,51.0,58.571199819443166,25.5
540,Cleveland Browns,28027.0,117,90,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,3,0,0,0,0.0,0,-1,0,RT,0,0,0,0,0,0,0,Germain Ifedi,99.096079509013,153.59817979325163,0,48.43,57.806261824206686,24.22
541,Cleveland Browns,89195.0,61,40,0,0,0.0,0,0,0,0.0,0,0.0,0,20,71,3.6,1,1.2,348,200,2162,10.8,9,35.4,0,0.0,0,0,60,279.3,0.0,4,0,0,0,0,0,0,3,1,0,0,0,0.0,0,2256,32,WR,0,0,0,0,0,0,0,Elijah Moore,98.11296142315813,138.38725457237558,0,37.18,48.66327432468125,18.59
542,Cleveland Browns,21668.0,62,1,0,1,0.0,0,0,1,0.0,0,0.0,0,0,0,0.0,0,0.0,48,28,299,10.7,0,4.8,0,0.0,0,0,0,25.9,0.0,1,3,0,0,0,0,0,2,0,0,0,0,0.0,0,950,651,WR,0,0,0,0,0,0,0,James Proche,99.27141815761034,156.4716973069652,0,52.29,58.85479172827616,26.14
543,Cleveland Browns,18133.0,108,67,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,140,111,853,7.7,6,7.9,0,0.0,0,0,36,121.3,0.0,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0,853,0,TE,0,0,0,0,0,0,0,Geoff Swaim,99.16320157320727,154.69225419294872,0,45.36,57.029078548797145,22.68
544,Cleveland Browns,44327.0,58,57,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,T,0,0,0,0,0,0,0,Jedrick Wills Jr.,98.95580831385712,151.3353634467904,0,46.43,57.31605656002381,23.22
545,Cleveland Browns,1534433.0,105,87,1944,3178,61.2,24225,154,111,86.4,219,36.0,15,323,1297,4.0,12,12.4,0,0,0,0.0,0,0.0,0,0.0,2,0,76,1540.8,0.0,0,0,0,0,0,0,0,60,25,0,0,0,0.0,0,1225,0,QB,0,0,0,0,0,0,0,Jameis Winston,77.7722207801499,10.4061447466969,0,15.62,5.5660411554136235,7.81
546,Cleveland Browns,8378.0,50,7,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,47,14,5,2,2,0,4,0,0,0,1,0,0.0,0,8,0,S,0,0,0,0,0,0,0,D'Anthony Bell,99.50618544922926,160.3989019345313,0,54.12,59.22399750730059,27.06
547,Cleveland Browns,55901.0,20,3,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,9.0,17,4,8,14,0,0,0,0,1,0,1,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,James Houston,98.89729358686004,150.40076195292204,0,56.39,59.50878065984659,28.2
548,Cleveland Browns,246392.0,15,9,208,335,62.1,2223,12,14,76.0,32,4.0,1,29,85,2.9,1,5.7,1,1,-6,-6.0,0,-0.4,0,0.0,0,0,6,114.8,0.0,0,0,0,0,0,0,0,6,0,0,0,0,0.0,0,75,0,QB,0,0,0,0,0,0,0,Bailey Zappe,96.1002958116746,111.544514542809,0,36.16,45.45723021540515,18.08
549,Cleveland Browns,7364.0,13,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.5,10,3,2,6,0,0,0,0,1,0,0,0,0.0,0,0,0,DT,0,0,0,0,0,0,0,Michael Dwumfour,99.52538315597133,160.72413909999514,0,67.45,60.31679922649231,33.72
550,Cleveland Browns,20131.0,15,0,0,0,0.0,0,0,0,0.0,0,0.0,0,32,96,3.0,0,6.4,3,2,27,13.5,0,1.8,0,0.0,0,0,0,12.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,169,46,RB,0,0,0,0,0,0,0,John Kelly,99.31351213675028,157.1690820179001,0,63.58,60.120512718990696,31.79
551,Dallas Cowboys,141938.0,2,2,28,52,53.8,228,0,4,33.2,6,0.0,0,7,22,3.1,0,11.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,20,0,QB,0,0,0,0,0,0,0,Will Grier,97.64960798511842,131.72046770040762,0,41.82,55.518807894688926,20.91
